year,ISO,LiNo,latitude,longitude,Breteau_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,date,
2008,2,12,22.6572136,120.3255327,1.960784314,0,1.960784314,1.449275362,3.921568627,2008/1/7,2008/1/13
2010,29,12,22.6572136,120.3255327,1.960784314,0,1.960784314,2.083333333,13.7254902,2010/7/12,2010/7/18
2010,3,12,22.6572136,120.3255327,1.960784314,0,1.960784314,1.298701299,5.882352941,2010/1/11,2010/1/17
2011,51,12,22.6572136,120.3255327,1.960784314,0,1.960784314,2.272727273,9.803921569,2011/12/12,2011/12/18
2008,13,13,22.6507594,120.3323798,1.960784314,0,1.960784314,1.923076923,11.76470588,2008/3/24,2008/3/30
2008,3,13,22.6507594,120.3323798,1.960784314,0,1.960784314,1.492537313,13.7254902,2008/1/14,2008/1/20
2009,11,14,22.6449684,120.3457126,1.960784314,0,1.960784314,1.388888889,5.882352941,2009/3/9,2009/3/15
2010,29,14,22.6449684,120.3457126,1.960784314,0,1.960784314,1.666666667,23.52941176,2010/7/12,2010/7/18
2007,10,15,22.6568351,120.330578,1.960784314,0,1.960784314,1.960784314,11.76470588,2007/3/5,2007/3/11
2008,2,15,22.6568351,120.330578,1.960784314,0.019607843,1.960784314,1.428571429,9.803921569,2008/1/7,2008/1/13
2010,6,15,22.6568351,120.330578,1.960784314,0,1.960784314,1.923076923,17.64705882,2010/2/1,2010/2/7
2010,23,16,22.6480125,120.32301,1.960784314,0.019607843,1.960784314,1.515151515,11.76470588,2010/5/31,2010/6/6
2010,12,17,22.6458181,120.3190457,1.960784314,0,1.960784314,1.666666667,25.49019608,2010/3/15,2010/3/21
2009,17,18,22.6447551,120.2999431,1.960784314,0,1.960784314,1.818181818,3.921568627,2009/4/20,2009/4/26
2006,22,19,22.6404888,120.2986815,1.960784314,0,1.960784314,1.136363636,70.58823529,2006/5/22,2006/5/28
2007,11,19,22.6404888,120.2986815,1.960784314,0,1.960784314,2.173913043,43.1372549,2007/3/12,2007/3/18
2009,14,19,22.6404888,120.2986815,1.960784314,0,1.960784314,1.754385965,5.882352941,2009/3/30,2009/4/5
2010,8,19,22.6404888,120.2986815,1.960784314,0,1.960784314,1.923076923,11.76470588,2010/2/15,2010/2/21
2010,9,20,22.6411791,120.2977803,1.960784314,0.058823529,1.960784314,1.5625,9.803921569,2010/2/22,2010/2/28
2008,19,21,22.6338814,120.2876871,1.960784314,0,1.960784314,1.470588235,9.803921569,2008/5/5,2008/5/11
2009,11,21,22.6338814,120.2876871,1.960784314,0,1.960784314,1.639344262,3.921568627,2009/3/9,2009/3/15
2009,39,21,22.6338814,120.2876871,1.960784314,0.019607843,1.960784314,2.040816327,98.03921569,2009/9/21,2009/9/27
2010,6,21,22.6338814,120.2876871,1.960784314,0,1.960784314,2.272727273,1.960784314,2010/2/1,2010/2/7
2005,18,22,22.6424705,120.3125583,1.960784314,0,1.960784314,2.325581395,50.98039216,2005/4/25,2005/5/1
2006,18,22,22.6424705,120.3125583,1.960784314,0,1.960784314,1.098901099,9.803921569,2006/4/24,2006/4/30
2007,18,22,22.6424705,120.3125583,1.960784314,0,1.960784314,1.666666667,21.56862745,2007/4/30,2007/5/6
